theta           phi             x                y                z                Bx               By               Bz
0.00000000E+00  1.97895600E+00  -4.20430751E+00  +9.72217898E+00  +7.82172978E-02  -3.02237234E-01  -1.18496319E-01  +1.40589701E-02
0.00000000E+00  2.02842990E+00  -4.69063020E+00  +9.52402736E+00  +1.13699733E-01  -2.96945503E-01  -1.28254075E-01  +1.03389291E-02
0.00000000E+00  2.07790380E+00  -5.17156131E+00  +9.30861364E+00  +1.42427681E-01  -2.90407851E-01  -1.38481457E-01  +5.44894884E-03
0.00000000E+00  2.12737770E+00  -5.64592890E+00  +9.07417727E+00  +1.62652275E-01  -2.82539939E-01  -1.49290080E-01  -2.56202601E-04
0.00000000E+00  2.17685160E+00  -6.11199356E+00  +8.81880997E+00  +1.73096448E-01  -2.73346354E-01  -1.60739956E-01  -6.39022342E-03
0.00000000E+00  2.22632550E+00  -6.56745880E+00  +8.54063767E+00  +1.73040708E-01  -2.62862102E-01  -1.72827259E-01  -1.25754803E-02
0.00000000E+00  2.27579940E+00  -7.00953222E+00  +8.23800733E+00  +1.62391926E-01  -2.51107640E-01  -1.85460125E-01  -1.84592492E-02
0.00000000E+00  2.32527330E+00  -7.43504460E+00  +7.90967276E+00  +1.41721634E-01  -2.38101698E-01  -1.98452589E-01  -2.37150283E-02
0.00000000E+00  2.37474720E+00  -7.84062600E+00  +7.55496328E+00  +1.12255193E-01  -2.23915726E-01  -2.11560548E-01  -2.80497458E-02
0.00000000E+00  2.42422110E+00  -8.22292385E+00  +7.17391070E+00  +7.58006221E-02  -2.08711353E-01  -2.24548067E-01  -3.12239383E-02
0.00000000E+00  2.47369500E+00  -8.57883712E+00  +6.76731217E+00  +3.46234998E-02  -1.92718899E-01  -2.37236764E-01  -3.30713272E-02
0.00000000E+00  2.52316890E+00  -8.90573834E+00  +6.33671843E+00  -8.71030985E-03  -1.76176012E-01  -2.49498013E-01  -3.35028682E-02
0.00000000E+00  2.57264280E+00  -9.20165966E+00  +5.88435051E+00  -5.15016261E-02  -1.59286459E-01  -2.61200996E-01  -3.24989434E-02
0.00000000E+00  2.62211670E+00  -9.46542589E+00  +5.41295706E+00  -9.10845341E-02  -1.42234988E-01  -2.72175701E-01  -3.01059391E-02
0.00000000E+00  2.67159060E+00  -9.69672111E+00  +4.92562865E+00  -1.24993397E-01  -1.25233131E-01  -2.82236232E-01  -2.64431926E-02
0.00000000E+00  2.72106450E+00  -9.89607902E+00  +4.42558763E+00  -1.51128012E-01  -1.08539608E-01  -2.91246742E-01  -2.17077726E-02
0.00000000E+00  2.77053840E+00  -1.00647943E+01  +3.91597503E+00  -1.67901059E-01  -9.24281248E-02  -2.99165226E-01  -1.61634186E-02
0.00000000E+00  2.82001230E+00  -1.02047652E+01  +3.39965862E+00  -1.74343618E-01  -7.71288597E-02  -3.06020751E-01  -1.01183940E-02
0.00000000E+00  2.86948620E+00  -1.03182905E+01  +2.87908429E+00  -1.70151869E-01  -6.27889020E-02  -3.11846242E-01  -3.90981788E-03
0.00000000E+00  2.91896010E+00  -1.04078531E+01  +2.35618440E+00  -1.55676201E-01  -4.94684942E-02  -3.16631502E-01  +2.09909419E-03
0.00000000E+00  2.96843400E+00  -1.04759114E+01  +1.83234501E+00  -1.31868536E-01  -3.71537820E-02  -3.20339953E-01  +7.52387702E-03
0.00000000E+00  3.01790790E+00  -1.05247116E+01  +1.30842519E+00  -1.00205685E-01  -2.57599918E-02  -3.22970942E-01  +1.19849906E-02
0.00000000E+00  3.06738180E+00  -1.05561189E+01  +7.84819823E-01  -6.25982825E-02  -1.51207098E-02  -3.24603204E-01  +1.51541834E-02
0.00000000E+00  3.11685570E+00  -1.05714724E+01  +2.61559338E-01  -2.12856731E-02  -4.98166265E-03  -3.25368462E-01  +1.67978529E-02
0.00000000E+00  3.16632960E+00  -1.05714724E+01  -2.61559338E-01  +2.12856731E-02  +4.98166265E-03  -3.25368462E-01  +1.67978529E-02
0.00000000E+00  3.21580350E+00  -1.05561189E+01  -7.84819823E-01  +6.25982825E-02  +1.51207098E-02  -3.24603204E-01  +1.51541834E-02
0.00000000E+00  3.26527740E+00  -1.05247116E+01  -1.30842519E+00  +1.00205685E-01  +2.57599918E-02  -3.22970942E-01  +1.19849906E-02
0.00000000E+00  3.31475130E+00  -1.04759114E+01  -1.83234501E+00  +1.31868536E-01  +3.71537820E-02  -3.20339953E-01  +7.52387702E-03
0.00000000E+00  3.36422520E+00  -1.04078531E+01  -2.35618440E+00  +1.55676201E-01  +4.94684942E-02  -3.16631502E-01  +2.09909419E-03
0.00000000E+00  3.41369910E+00  -1.03182905E+01  -2.87908429E+00  +1.70151869E-01  +6.27889020E-02  -3.11846242E-01  -3.90981788E-03
0.00000000E+00  3.46317300E+00  -1.02047652E+01  -3.39965862E+00  +1.74343618E-01  +7.71288597E-02  -3.06020751E-01  -1.01183940E-02
